miss,cache_ref,instruction,ipc,replica_num,transfer,bitrate
28303142,162283918,14139386808,0.785714286,80,1.84,1.58
29824353,166544402,14549265725,0.857142857,80,1.54,1.32
27945004,156993148,13698566512,0.846153846,80,1.69,1.45
29108303,161845040,14109360479,0.857142857,80,1.66,1.42
28481282,158787760,13828800880,0.846153846,80,1.38,1.18
28772796,160349168,13961512412,0.846153846,80,1.40,1.19
29475581,162236627,14240686402,0.785714286,80,1.77,1.52
28509968,159126219,13992383511,0.923076923,80,1.78,1.52
26303954,149048075,13126483139,0.846153846,80,1.80,1.55
26077506,149269733,13225578858,0.846153846,80,1.83,1.57

31744655,176419638,15556123268,0.866666667,90,1.80,1.54
30493620,170336349,15117337760,0.800000000,90,1.42,1.22
31341865,179517475,15809794462,0.866666667,90,1.78,1.52
29351851,168199495,14616212468,0.857142857,90,1.86,1.59
31439435,176060674,15510007185,0.866666667,90,1.24,1.06
30935594,173592555,15447599941,0.800000000,90,1.38,1.18
29978265,174266449,15362811490,0.866666667,90,1.49,1.28
28097567,161711219,14217573784,0.857142857,90,1.51,1.30
31476921,176559921,15785256812,0.866666667,90,1.39,1.18
30719608,172301051,15076990596,0.800000000,90,1.60,1.37
30815049,173432458,15259867956,0.866666667,90,1.45,1.24
30763195,170940036,14998900981,0.857142857,90,1.39,1.19
31370224,175411953,15581138065,0.866666667,90,1.33,1.13
30300999,172630067,15038171153,0.800000000,90,1.41,1.21
31640686,178762629,15701906944,0.866666667,90,1.46,1.24
31083036,175738457,15327260066,0.866666667,90,1.39,1.19
32010245,179154579,15771220937,0.866666667,90,1.44,1.23
31403938,174500765,15455901810,0.866666667,90,1.33,1.14
31007064,176044206,15526605313,0.866666667,90,1.24,1.06
31029125,174811226,15790453061,0.866666667,90,1.38,1.18

32724153,189622134,16602344961,0.875000000,100
32022214,184480588,16147343456,0.812500000,100
33065260,188116682,16533395468,0.875000000,100
31972141,182598955,16060062285,0.812500000,100
31505617,181801033,16281539822,0.875000000,100
34424835,191428943,16818407142,0.875000000,100
33513876,191656030,16809746330,0.875000000,100
33094990,189482407,16695470915,0.875000000,100
33406696,192515375,16968503082,0.875000000,100
33822085,190131042,16623799430,0.875000000,100
